,name,CHAL1_ans,CHAL1_txt,Primary cycle code,CHAL1_con,CHAL1_lik,CHAL2_ans,CHAL2_txt,Primary cycle code,CHAL2_con,CHAL2_lik
599,Area_Int,pave the driveway (protect against 120 heavy rainfall events over 30 years),Seems most cost-effective ,cost effective,extremely confident,likely,yes,Seemed sensible ,logical choice,extremely confident,likely
605,Area_Int,install improved erosion control measures that protect against 4 heavy rainfall events per year,purple range,based on emissions scenario(s)/ projections,extremely confident,virtually certain,yes,the pink range,based on emissions scenario(s)/ projections,extremely confident,virtually certain
606,Area_Int,install basic erosion control measures that protect against 2 heavy rainfall events per year,Its a smart decision ,logical choice,moderately confident,about as likely as not,yes,Its better to be safe then sorry,safe than sorry,very confident,likely
617,Area_Int,install basic erosion control measures that protect against 2 heavy rainfall events per year,According to the graph ,based on the graph,very confident,very unlikely,no,Changes indicated ,change in rainfall,moderately confident,very unlikely
623,Area_Int,install basic erosion control measures that protect against 2 heavy rainfall events per year,Its great analysis ,?,very confident,about as likely as not,yes,It helps the economy,advantages it offers,moderately confident,likely
630,Area_Int,install basic erosion control measures that protect against 2 heavy rainfall events per year,Cause it helps to ease flooding,risk of flood(s),very confident,very likely,yes,Cause it  will help me in times of flood,avoid damage and its costs,very confident,likely
635,Area_Int,install improved erosion control measures that protect against 4 heavy rainfall events per year,makes the most sense.,logical choice,not very confident,very likely,yes,Higher rainfall,increase in rainfall,not very confident,about as likely as not
649,Area_Int,install improved erosion control measures that protect against 4 heavy rainfall events per year,"While the ranges certainly increase significantly based on the forecasts, the actual number of events, when extrapolated, are unlikely to reach 4 in most years. I'd be willing to risk that and invest in the same option again given the cost compared to paving.",cost benefit analysis,moderately confident,about as likely as not,yes,"The chance of having heavy rain events will very likely continue increasing. Assuming even one such event over the next several decades, the cost of the insurance would be worth coverage for even one such event.",cost benefit analysis,extremely confident,very likely
651,Area_Int,pave the driveway (protect against 120 heavy rainfall events over 30 years),"Gravel driveways are always eroding from wind, rain, snow. A paved driveway is easier to maintain. ",low maintenance,extremely confident,very likely,yes,Previous record prove it could happen again within 10 years. ,10 yr likelihood,very confident,virtually certain
652,Area_Int,install basic erosion control measures that protect against 2 heavy rainfall events per year,low happenings,low risk of flooding,moderately confident,likely,no,low probability,low risk of flooding,moderately confident,likely
657,Area_Int,pave the driveway (protect against 120 heavy rainfall events over 30 years),Went by price ,cost effective,extremely confident,very likely,yes,Didn't use the graph went by price ,cost effective,extremely confident,likely
663,Area_Int,install basic erosion control measures that protect against 2 heavy rainfall events per year,Cost per yesr,cost effective,moderately confident,about as likely as not,no,The monthly cost,too expensive,moderately confident,likely
667,Area_Int,install basic erosion control measures that protect against 2 heavy rainfall events per year,Save money,saves money,not very confident,about as likely as not,yes,History,history of flood,very confident,likely
670,Area_Int,install basic erosion control measures that protect against 2 heavy rainfall events per year,I would try this first then if that didn't work try something else ,watch and decide later,moderately confident,very likely,yes,I would rather pay the insurance then out of pocket ,avoid damage and its costs,moderately confident,about as likely as not
671,Area_Int,install improved erosion control measures that protect against 4 heavy rainfall events per year,This would help as the flood increases ,increase in risk of flood(s),moderately confident,likely,yes,It was because of the increase indicated on the graph,increase in rainfall,very confident,likely
673,Area_Int,do nothing (protect against 0 heavy rainfall events per year),nothing can do,not needed,not very confident,about as likely as not,yes,need,to be prepared and protect,not very confident,unlikely
676,Area_Int,install basic erosion control measures that protect against 2 heavy rainfall events per year,Rain seems less likely ,low amount of rain,moderately confident,likely,yes,More rain is predicted ,increase in rainfall,moderately confident,likely
677,Area_Int,install improved erosion control measures that protect against 4 heavy rainfall events per year,To save what i already have ,protection of home and family,moderately confident,unlikely,no,Chance is not high enough ,low risk of flooding,moderately confident,about as likely as not
682,Area_Int,install improved erosion control measures that protect against 4 heavy rainfall events per year,Don’t know ,I don't know,very confident,very likely,no,Don’t know,I don't know,very confident,unlikely
683,Area_Int,pave the driveway (protect against 120 heavy rainfall events over 30 years),Would rather have more protection than I need than not enough ,best level of protection,very confident,likely,yes,The average amount of rainfall has increased ,increase in rainfall,very confident,likely
688,Area_Int,install improved erosion control measures that protect against 4 heavy rainfall events per year,Increase in heavy rain ,increase in rainfall,moderately confident,very likely,yes,Increase of high rain ,increase in rainfall,extremely confident,virtually certain
693,Area_Int,do nothing (protect against 0 heavy rainfall events per year),I don’t think it would be worth it,not needed,moderately confident,about as likely as not,yes,Percent change over the years,change in rainfall,very confident,unlikely
703,Area_Int,install improved erosion control measures that protect against 4 heavy rainfall events per year,It seems likely that it will ruin the driveway at least a couple times a year.,risk of flood(s),very confident,unlikely,yes,Rainfall is projected to increase over the years.,increase in rainfall,extremely confident,very likely
705,Area_Int,pave the driveway (protect against 120 heavy rainfall events over 30 years),"Because honestly, that’s what I’d do period. Over time I’ll have spent well over $7000 with the maintenance. So I’m my mind I can’t take out a loan and have that paid off in no time and save myself time money and grief.",best economic choice,extremely confident,likely,yes,"There is a greater chance that the home will again flood, so that determined my “yes” answer.",increase in risk of flood(s),very confident,virtually certain
709,Area_Int,pave the driveway (protect against 120 heavy rainfall events over 30 years),I'd pave it so I don't have to worry about it.,fix and forget,extremely confident,likely,yes,the chances of a heavy rainfall event go up over time,increase in rainfall,extremely confident,very likely
713,Area_Int,do nothing (protect against 0 heavy rainfall events per year),not enough information,more information wanted,not very confident,about as likely as not,yes,based off the chart you would need ,to be prepared and protect,extremely confident,very likely
714,Area_Int,pave the driveway (protect against 120 heavy rainfall events over 30 years),Because it's the best option ,logical choice,extremely confident,very likely,yes,Because rain is projected to increase ,increase in rainfall,extremely confident,virtually certain
717,Area_Int,install improved erosion control measures that protect against 4 heavy rainfall events per year,Unsure ,I don't know,moderately confident,about as likely as not,no,Unsure,I don't know,moderately confident,about as likely as not
741,Area_Int,pave the driveway (protect against 120 heavy rainfall events over 30 years),Its the most cost-effective ,cost effective,very confident,about as likely as not,yes,It would save me money in the long run,saves money,very confident,about as likely as not
745,Area_Int,pave the driveway (protect against 120 heavy rainfall events over 30 years),I hate the cost and effort of maintaining things over time. I'd rather invest the money to do it right upfront and have added property value and protection for future heavy rainfall events. ,increase property value,moderately confident,about as likely as not,yes,A heavy rainfall event is becoming more commonplace,increase in rainfall,moderately confident,likely
751,Area_Int,pave the driveway (protect against 120 heavy rainfall events over 30 years),Makes more sense,logical choice,moderately confident,likely,yes,Did already will likely do it again ,history of flood,very confident,virtually certain
759,Area_Int,install improved erosion control measures that protect against 4 heavy rainfall events per year,It should prevent all if it doubles in amount of heavy rainfall events there are.,increase in rainfall,very confident,very likely,yes,Increased likelihood of heavy rain event,increase in rainfall,very confident,very likely
761,Area_Int,install improved erosion control measures that protect against 4 heavy rainfall events per year,Due to the amount of rain ,amount of rain,extremely confident,likely,yes,Because the rain predicted ,based on emissions scenario(s)/ projections,extremely confident,very likely
765,Area_Int,pave the driveway (protect against 120 heavy rainfall events over 30 years),"The initial cost of $7,000 is much cheaper over time than the continual costs of the other three options.",saves money,extremely confident,likely,yes,"The chances of a major rainfall event are 1.6 days per year.  This means it is likely that one to two events will happen, making the insurance a good investment.",good investment,very confident,virtually certain
771,Area_Int,install basic erosion control measures that protect against 2 heavy rainfall events per year,This is the most appropriate decision,logical choice,not very confident,likely,no,"I don't know, that's how I felt.",I don't know,very confident,likely
781,Area_Int,install basic erosion control measures that protect against 2 heavy rainfall events per year,Because I believe is true,feels right,extremely confident,virtually certain,yes,Because I believe is true,feels right,extremely confident,virtually certain
796,Area_Int,pave the driveway (protect against 120 heavy rainfall events over 30 years),Due to the more days of rain. ,increase in rainfall,very confident,very likely,yes,Because the amount of rainfall is increasing which means it will most likely start to flood,increase in risk of flood(s),moderately confident,very likely
818,Area_Int,pave the driveway (protect against 120 heavy rainfall events over 30 years),To save money and repair in the long run,saves money,very confident,very likely,yes,Rainfall will increase ,increase in rainfall,very confident,likely
820,Area_Int,install improved erosion control measures that protect against 4 heavy rainfall events per year,The increase and decrease ,weather is unpredictable,moderately confident,likely,yes,Because you can never be to careful,safe than sorry,very confident,likely
834,Area_Int,install improved erosion control measures that protect against 4 heavy rainfall events per year,Hard test ,I don't understand,extremely confident,likely,yes,Yes I would it makes a better way in case a bad storm ,to be prepared and protect,extremely confident,very likely
846,Area_Int,install improved erosion control measures that protect against 4 heavy rainfall events per year,I don’t know ,I don't know,extremely confident,virtually certain,no,I don’t know ,I don't know,very confident,very likely
852,Area_Int,install basic erosion control measures that protect against 2 heavy rainfall events per year,I selected this option because it offers protection for up to 2 heavy rainfall events / year which is relevant to the weather statistics in my area.,based on 2 events,extremely confident,about as likely as not,no,"I selected that option because I do not have a price of atleast $480 / year of flood related damages, which is what the chart indicates is the situation where it should be.",too expensive,very confident,about as likely as not
857,Area_Int,install basic erosion control measures that protect against 2 heavy rainfall events per year,I just believe that that’s why but I’m kinda confused ,I don't understand,not at all confident,virtually certain,yes,Well I feel like I should do that because the house might not have insurance ,to be prepared and protect,very confident,about as likely as not
859,Area_Int,install improved erosion control measures that protect against 4 heavy rainfall events per year,N/A,no comment,moderately confident,about as likely as not,yes,"Personally, my influence is not based off of the graph, It is best to have insurance just in case.",to be prepared and protect,moderately confident,about as likely as not
863,Area_Int,pave the driveway (protect against 120 heavy rainfall events over 30 years),Best investment if I'm expecting more than 4 events annually,based on 4 events,extremely confident,virtually certain,yes,"Seems economical compared to the potential for loss,",cost benefit analysis,moderately confident,very likely
867,Area_Int,install improved erosion control measures that protect against 4 heavy rainfall events per year,To make sure my home is protected against a heavy rainfall event,protection of home and family,moderately confident,likely,yes,Anything possible to cover or help with damages I’d be willing to give a try ,avoid damage and its costs,very confident,likely
868,Area_Int,install basic erosion control measures that protect against 2 heavy rainfall events per year,Amount of rain drops,amount of rain,moderately confident,likely,no,Amount of rain fall,amount of rain,moderately confident,about as likely as not
869,Area_Int,install improved erosion control measures that protect against 4 heavy rainfall events per year,I liked it ,feels right,moderately confident,likely,yes,the facts ,the description,moderately confident,very likely
879,Area_Int,pave the driveway (protect against 120 heavy rainfall events over 30 years),Long term fix,long lasting,very confident,likely,yes,I want to be covered,to be prepared and protect,moderately confident,very likely
902,Area_Int,install improved erosion control measures that protect against 4 heavy rainfall events per year,I obviously wouldnt let rain in.,to be prepared and protect,very confident,about as likely as not,yes,The percentage is definitely high.,risk of flood(s),extremely confident,virtually certain
921,Area_Int,pave the driveway (protect against 120 heavy rainfall events over 30 years),Better to be safe than sorry. Plus it cheaper to pave it once every 30 years than to maintain ,safe than sorry,very confident,unlikely,yes,Since it is predicted that rainfall intensity is likely to increase,increase in rainfall,very confident,likely
924,Area_Int,install basic erosion control measures that protect against 2 heavy rainfall events per year,idk,I don't know,moderately confident,unlikely,yes,idk,I don't know,moderately confident,virtually certain
926,Area_Int,pave the driveway (protect against 120 heavy rainfall events over 30 years),"in the long run, it would remove the worry of the driveway washing out due to heavy rain or flooding from the stream. one single payment rather than constant upkeep",fix and forget,extremely confident,likely,yes,"average rainfalls is increasing so if it flooded 10 years ago, it would be safe to insure it now",increase in rainfall,very confident,likely
927,Area_Int,install improved erosion control measures that protect against 4 heavy rainfall events per year,its the best choice to help mantain a safe environment.,logical choice,very confident,very likely,yes,because the rainfall may increase,increase in rainfall,very confident,very likely
932,Area_Int,pave the driveway (protect against 120 heavy rainfall events over 30 years),Cobers the most rainfall events ,best level of protection,very confident,likely,yes,The chances of flooding are certain ,risk of flood(s),extremely confident,virtually certain
936,Area_Int,do nothing (protect against 0 heavy rainfall events per year),I didn't see  any rainfall for this area,low amount of rain,not very confident,likely,yes,Different rainfall,change in rainfall,very confident,likely
950,Area_Int,pave the driveway (protect against 120 heavy rainfall events over 30 years),Will I think it’s easier to pave the way since the graph increase rain and to save instead of paying yearly and worry about what’s gonna happen,to be prepared and protect,extremely confident,about as likely as not,yes,Will based graph rainfall will increase in time ,increase in rainfall,very confident,about as likely as not
951,Area_Int,pave the driveway (protect against 120 heavy rainfall events over 30 years),Appears to be the most cost effective based on rainfall events,cost effective,moderately confident,very likely,yes,Ammount of previous damage and that flood has happened before to house,history of flood,very confident,likely
957,Area_Int,install improved erosion control measures that protect against 4 heavy rainfall events per year,The expected amount of heavy rainfalls.,amount of rain,very confident,very likely,yes,Expected increase in rainfall,increase in rainfall,very confident,likely
960,Area_Int,pave the driveway (protect against 120 heavy rainfall events over 30 years),It’s a one time payment then you won’t have to worry about it again. ,fix and forget,extremely confident,very likely,yes,That heavy rainfall is increasing over the years.,increase in rainfall,extremely confident,about as likely as not
967,Area_Int,pave the driveway (protect against 120 heavy rainfall events over 30 years),Best value,best economic choice,extremely confident,virtually certain,yes,It’s better than paying for everything out of pocket,avoid damage and its costs,extremely confident,virtually certain
970,Area_Int,install basic erosion control measures that protect against 2 heavy rainfall events per year,It’s the only one with low expensive which I can afford ,cost effective,moderately confident,about as likely as not,yes,I don’t want to take risk. I should be on the safer side ,safe than sorry,extremely confident,about as likely as not
972,Area_Int,install basic erosion control measures that protect against 2 heavy rainfall events per year,I feel that is the better option.,logical choice,moderately confident,about as likely as not,no,I feel that is the better option.,logical choice,moderately confident,about as likely as not
975,Area_Int,install basic erosion control measures that protect against 2 heavy rainfall events per year,Because it was the right answer,logical choice,moderately confident,about as likely as not,yes,It seemed like the right answer to me.,logical choice,moderately confident,about as likely as not
980,Area_Int,install improved erosion control measures that protect against 4 heavy rainfall events per year,Not expensive ,cost effective,moderately confident,about as likely as not,yes,Potential for flooding has been proven. Cost is small compared to loss,cost benefit analysis,very confident,about as likely as not
984,Area_Int,install basic erosion control measures that protect against 2 heavy rainfall events per year,seemed like a good mix of cost vs. benefit,cost benefit analysis,moderately confident,about as likely as not,no,the chance that rain intensity will increase,increase in rainfall,moderately confident,very likely
986,Area_Int,pave the driveway (protect against 120 heavy rainfall events over 30 years),Don’t have to fix as much ,low maintenance,moderately confident,about as likely as not,yes,Because the cost wasn’t huge so better to be safe ,cost effective,very confident,about as likely as not
996,Area_Int,pave the driveway (protect against 120 heavy rainfall events over 30 years),"It seems the safest option, considering it seems likely that there will be more heavy rainfall events.",increase in rainfall,moderately confident,very likely,yes,"It feels risky not to have insurance, when it seems almost certain that heavy rainfall will increase.",increase in risk of flood(s),moderately confident,very likely
998,Area_Int,pave the driveway (protect against 120 heavy rainfall events over 30 years),Nothing just thinking of ways to help it looks scary,to be prepared and protect,moderately confident,very likely,yes,Seems right,feels right,moderately confident,about as likely as not
1001,Area_Int,pave the driveway (protect against 120 heavy rainfall events over 30 years),I'm not sure if I can t,?,moderately confident,very likely,no,Soso,feels right,moderately confident,likely
1003,Area_Int,install improved erosion control measures that protect against 4 heavy rainfall events per year,It’s most likely there’s not 4 heavy rainfall days in a year,based on 4 events,very confident,unlikely,yes,It’s very likely that the house will get flooded based on the graph,risk of flood(s),very confident,very likely
1011,Area_Int,install basic erosion control measures that protect against 2 heavy rainfall events per year,Feel it is the best option ,logical choice,moderately confident,about as likely as not,no,I rent,confusion about personal home,not very confident,likely
1015,Area_Int,install basic erosion control measures that protect against 2 heavy rainfall events per year,Because it makes senss,logical choice,very confident,very likely,yes,It looks helpful,feels right,very confident,likely
1016,Area_Int,pave the driveway (protect against 120 heavy rainfall events over 30 years),Because it makes the most sense ,logical choice,very confident,likely,yes,Because it’s worth the safety,safe than sorry,extremely confident,about as likely as not
1023,Area_Int,pave the driveway (protect against 120 heavy rainfall events over 30 years),It three thunder treads ,?,moderately confident,very likely,yes,Yes because rain intensity is increasing over time,increase in rainfall,moderately confident,very likely
1024,Area_Int,install improved erosion control measures that protect against 4 heavy rainfall events per year,don't know,I don't know,moderately confident,about as likely as not,no,looking at the graph,based on the graph,extremely confident,unlikely
1026,Area_Int,do nothing (protect against 0 heavy rainfall events per year),Can't explain ,feels right,not very confident,unlikely,yes,Security reasons,to be prepared and protect,moderately confident,likely
1028,Area_Int,install basic erosion control measures that protect against 2 heavy rainfall events per year,The only way I could see the picture of ,?,not very confident,about as likely as not,yes,The only way I could see ,feels right,very confident,likely
1040,Area_Int,install basic erosion control measures that protect against 2 heavy rainfall events per year,if it only happens once a year i can afford the setup cost and $100 a year.,cost effective,extremely confident,unlikely,yes,ican not afford to cover damages on my own,avoid damage and its costs,extremely confident,very likely
1043,Area_Int,pave the driveway (protect against 120 heavy rainfall events over 30 years),Get a lot of rain,high amount of rain,extremely confident,virtually certain,yes,The numbers,based on the graph,extremely confident,very likely
1048,Area_Int,pave the driveway (protect against 120 heavy rainfall events over 30 years),Longest life span,long lasting,extremely confident,very likely,yes,Rainfalls gonna increase ,increase in rainfall,extremely confident,virtually certain
1054,Area_Int,install improved erosion control measures that protect against 4 heavy rainfall events per year,The trends provided helped me select the best choice,based on average,very confident,virtually certain,yes,With all the numbers to concider it only makes since to chhose yes to the previous question,logical choice,moderately confident,likely
1061,Area_Int,pave the driveway (protect against 120 heavy rainfall events over 30 years),Not sure ,I don't know,moderately confident,about as likely as not,no,Not interested ,not needed,moderately confident,about as likely as not
1070,Area_Int,pave the driveway (protect against 120 heavy rainfall events over 30 years),Gravel driveways stink,based on prior experience,extremely confident,likely,yes,Rainfall amounts are increasing so it is goid to have piece of mind,increase in rainfall,extremely confident,likely
1087,Area_Int,install improved erosion control measures that protect against 4 heavy rainfall events per year,Because you would need to do this in order to keep the driveway from erosion,erosion control,extremely confident,likely,yes,It's just a everyday necessity,to be prepared and protect,extremely confident,likely
1094,Area_Int,install basic erosion control measures that protect against 2 heavy rainfall events per year,The increase in rainfall. ,increase in rainfall,extremely confident,very likely,yes,The increase in rainfall predicted. ,increase in rainfall,extremely confident,very likely
1095,Area_Int,do nothing (protect against 0 heavy rainfall events per year),Averages never are 100% correct,weather is unpredictable,very confident,likely,no,So high up shouls never see water ,confusion about personal home,very confident,very likely
1098,Area_Int,install improved erosion control measures that protect against 4 heavy rainfall events per year,none,no comment,very confident,very likely,yes,none,no comment,very confident,about as likely as not
1101,Area_Int,install basic erosion control measures that protect against 2 heavy rainfall events per year,I would like to know about rain fall,more information wanted,moderately confident,likely,yes,The graph helps me ,based on the graph,moderately confident,likely
1108,Area_Int,pave the driveway (protect against 120 heavy rainfall events over 30 years),It is the safest,logical choice,extremely confident,virtually certain,yes,It is possible to flood again,history of flood,extremely confident,virtually certain
1114,Area_Int,install improved erosion control measures that protect against 4 heavy rainfall events per year,Not sure. Opinion,feels right,not very confident,very unlikely,yes,Rainfall,amount of rain,moderately confident,about as likely as not
1117,Area_Int,install improved erosion control measures that protect against 4 heavy rainfall events per year,The frequency may increase but not enough to warrant an expensive pavement and the coverage resets every year ,cost benefit analysis,very confident,very likely,yes,The amount of rain is steadily increasing as time passes. A 30 year mortgage will bleed into the next predictive bar graph that warrants flood insurance despite it not a requirement to obtain ,cost benefit analysis,extremely confident,very likely
1118,Area_Int,install basic erosion control measures that protect against 2 heavy rainfall events per year,The medigation charts ,based on the graph,moderately confident,likely,no,The low emissions charge,based on emissions scenario(s)/ projections,moderately confident,likely
1125,Area_Int,install improved erosion control measures that protect against 4 heavy rainfall events per year,Graphics predictions ,based on emissions scenario(s)/ projections,moderately confident,likely,yes,Graphics shows likely ,risk of flood(s),moderately confident,likely
1126,Area_Int,install basic erosion control measures that protect against 2 heavy rainfall events per year,I just don’t want house to flood,to be prepared and protect,very confident,likely,yes,I chose this option because I’d never want my house to be flooded ,avoid damage and its costs,extremely confident,very likely
1128,Area_Int,pave the driveway (protect against 120 heavy rainfall events over 30 years),Best value for situation ,best economic choice,very confident,likely,yes,Due to the increasing possibility of heavy rain,increase in rainfall,very confident,very likely
1133,Area_Int,pave the driveway (protect against 120 heavy rainfall events over 30 years),Most cost effective ,cost effective,extremely confident,virtually certain,yes,Lots of heavy rainfall predicted ,high amount of rain,extremely confident,virtually certain
1136,Area_Int,do nothing (protect against 0 heavy rainfall events per year),It’s the way I feel,feels right,moderately confident,about as likely as not,yes,The way I feel,feels right,extremely confident,virtually certain
1139,Area_Int,install improved erosion control measures that protect against 4 heavy rainfall events per year,i like to be safe and sound,safe than sorry,very confident,very likely,yes,i like to be safe and sound,safe than sorry,extremely confident,very likely
1141,Area_Int,do nothing (protect against 0 heavy rainfall events per year),protection form rain,to be prepared and protect,extremely confident,very likely,yes,depending on the geographical scenario and the care of my home and property,protection of home and family,extremely confident,very likely
1148,Area_Int,pave the driveway (protect against 120 heavy rainfall events over 30 years),No comment,no comment,moderately confident,very likely,no,Do not know,I don't know,moderately confident,very likely
1151,Area_Int,install improved erosion control measures that protect against 4 heavy rainfall events per year,My own thoughts ,feels right,very confident,virtually certain,no,The bar,based on the graph,moderately confident,very unlikely
1162,Area_Int,install improved erosion control measures that protect against 4 heavy rainfall events per year,Because the graph shows big changes ,change in rainfall,not very confident,about as likely as not,no,No. Because it is not yet proven,I don't believe it,extremely confident,likely
1163,Area_Int,install improved erosion control measures that protect against 4 heavy rainfall events per year,It is very safe ,logical choice,extremely confident,likely,yes,It is very good ,logical choice,very confident,likely
1164,Area_Int,pave the driveway (protect against 120 heavy rainfall events over 30 years),Better protection plan,best level of protection,extremely confident,very likely,yes,Just because the previous homeowner experienced a flood and how much it costed them in damages.,history of flood,extremely confident,likely
1166,Area_Int,install basic erosion control measures that protect against 2 heavy rainfall events per year,Basic will be enough.,logical choice,moderately confident,likely,yes,Rainfall will increase,increase in rainfall,moderately confident,about as likely as not
1167,Area_Int,pave the driveway (protect against 120 heavy rainfall events over 30 years),It would need a replacement ,low maintenance,moderately confident,about as likely as not,no,Not much rain fall,low amount of rain,not very confident,about as likely as not
1172,Area_Int,install basic erosion control measures that protect against 2 heavy rainfall events per year,I’m not sure. This is difficult to read.,I don't understand,moderately confident,about as likely as not,no,"Rainfall and flooding are very high and will get higher, i’d like to be safe.",increase in risk of flood(s),not very confident,very likely
1180,Area_Int,install improved erosion control measures that protect against 4 heavy rainfall events per year,Im not sure ,I don't know,very confident,likely,yes,Be on safe side,safe than sorry,very confident,very likely
1183,Area_Int,install basic erosion control measures that protect against 2 heavy rainfall events per year, I think the installation cost us worth it,best economic choice,extremely confident,about as likely as not,yes,The previous owner had damage so I would buy flood insurance just to be safe,history of flood,very confident,about as likely as not
1185,Area_Int,install basic erosion control measures that protect against 2 heavy rainfall events per year,No,no comment,very confident,likely,yes,Better safe than sorry. It's fairly cheap.,safe than sorry,very confident,very likely
1186,Area_Int,install improved erosion control measures that protect against 4 heavy rainfall events per year,Not sure,I don't know,very confident,very likely,no,I live in Arizona ,confusion about personal home,extremely confident,very likely
1189,Area_Int,pave the driveway (protect against 120 heavy rainfall events over 30 years),Will save money and less mess ,saves money,extremely confident,likely,yes,It would be at lot cheaper ,cost effective,extremely confident,about as likely as not
4,Bar_freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),Paving is best option ,logical choice,extremely confident,,yes,Because of the rain fall,amount of rain,extremely confident,
13,Bar_freq,install basic erosion control measures that protect against 2 heavy rainfall events per year,erosion is very likely,erosion control,moderately confident,,yes,it seems flooding is possible,risk of flood(s),moderately confident,
17,Bar_freq,do nothing (protect against 0 heavy rainfall events per year),,no comment,extremely confident,,no,,no comment,not at all confident,
20,Bar_freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,This thing doing can be well,?,very confident,,no,none,no comment,very confident,
22,Bar_freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,it looks like the most cost effective,cost effective,moderately confident,,yes,it looks like it is wise,logical choice,very confident,
27,Bar_freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),"long term results, no maintenance",long lasting,extremely confident,,yes,previously flooded at 1.9%,history of flood,extremely confident,
32,Bar_freq,install basic erosion control measures that protect against 2 heavy rainfall events per year,it's the most inexpensive and I'd like to see if this remedies the problem before I need to make it to the next financial level,watch and decide later,moderately confident,,yes,saves my home form expensive repairs,avoid damage and its costs,moderately confident,
35,Bar_freq,install basic erosion control measures that protect against 2 heavy rainfall events per year,It is the most economical for me ,best economic choice,moderately confident,,no,It is not frequent enough in my area to warrant it ,confusion about personal home,moderately confident,
38,Bar_freq,install basic erosion control measures that protect against 2 heavy rainfall events per year,"It seems to be the most cost-effective choice given that according to the graph, heavy rainfall events will not occur more than 2 days per year until 2040.",based on 2 events,moderately confident,,yes,"The description said that 1.9 inches of rainfall in a day caused the prvious homeowner $25,000 in damages. The graph shows that for the current period (2020-2049), average rainfall will exceed 1.9 inches, making purchasing an insurance policy the most cost-effective option on average (according to the model).",cost benefit analysis,extremely confident,
45,Bar_freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,The showing of flooding before,history of flood,very confident,likely,no,Cost too much ,too expensive,extremely confident,likely
55,Bar_freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,Insurance costs,insurance costs,very confident,virtually certain,no,Too expensive ,too expensive,moderately confident,very likely
59,Bar_freq,install basic erosion control measures that protect against 2 heavy rainfall events per year,It's cheaper ,cost effective,extremely confident,about as likely as not,yes,The coverage,to be prepared and protect,extremely confident,about as likely as not
66,Bar_freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),The cost may seem high but overall it is the cheapest option long term.,cost effective,extremely confident,unlikely,yes,If pay more to fix damages out of pocket,avoid damage and its costs,extremely confident,virtually certain
68,Bar_freq,do nothing (protect against 0 heavy rainfall events per year),Scientific forecasts nowadays support the messages of whoever pay for their studies ,I don't believe it,moderately confident,about as likely as not,no,I live in the Sonoran desert ,confusion about personal home,extremely confident,about as likely as not
77,Bar_freq,do nothing (protect against 0 heavy rainfall events per year),I would take my chances because the cost is too high.,too expensive,not very confident,very unlikely,no,The probablity of needing it is low. is ,low risk of flooding,not very confident,very unlikely
87,Bar_freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,The color charts ,based on the graph,extremely confident,very likely,yes,The pink graph ,based on emissions scenario(s)/ projections,moderately confident,likely
95,Bar_freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),It seems like most cost effective way to maintain the driveway.,cost effective,very confident,about as likely as not,yes,It the most cost effective,cost effective,moderately confident,about as likely as not
98,Bar_freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),It just did,feels right,moderately confident,virtually certain,no,Ksos,?,extremely confident,very likely
106,Bar_freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,To prevent heavy rainfall in the incoming future ,to be prepared and protect,very confident,likely,yes,The chances of a flood has increased greatly over the years,increase in risk of flood(s),moderately confident,likely
109,Bar_freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),get it fixed right and be done,fix and forget,very confident,very likely,yes,in time my home will get distroyed,avoid damage and its costs,extremely confident,very likely
112,Bar_freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,idk,I don't know,moderately confident,likely,yes,Because incase my house does flood im already ready to repair it and pay it off with that,avoid damage and its costs,moderately confident,about as likely as not
116,Bar_freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),I will have to pay 0$ a year ,low maintenance,extremely confident,virtually certain,yes,Protect me ,protection of home and family,extremely confident,virtually certain
122,Bar_freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,Its better than the choice of 30 years.,logical choice,moderately confident,about as likely as not,yes,Its better than to pay out of my pocket ,avoid damage and its costs,extremely confident,likely
129,Bar_freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),Prefer long term fix,long lasting,very confident,likely,yes,Seems like a reasonable price ,cost effective,moderately confident,likely
131,Bar_freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,Seems to be average,based on average,moderately confident,about as likely as not,yes,The per year cost,cost effective,moderately confident,about as likely as not
147,Bar_freq,install basic erosion control measures that protect against 2 heavy rainfall events per year,It’s not as much ,cost effective,very confident,about as likely as not,yes,Cause you never know when a flood might happen so it’s always better to be more safe than sorry.,safe than sorry,moderately confident,likely
151,Bar_freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,Seems most prudent solution given situation.,logical choice,moderately confident,about as likely as not,yes,the amount of rain expected over time.,amount of rain,very confident,likely
